iter	MultiClass
0	1.378894449
1	1.371649859
2	1.364534832
3	1.357589515
4	1.350964274
5	1.344327582
6	1.337838535
7	1.331889407
8	1.32591351
9	1.320263595
10	1.314687384
11	1.309212011
12	1.303778331
13	1.2985399
14	1.293333705
15	1.288433562
16	1.283410945
17	1.278718081
18	1.274151538
19	1.269568365
20	1.264981696
21	1.260714038
22	1.256521526
23	1.252325186
24	1.248453812
25	1.244601625
26	1.240758171
27	1.237009472
28	1.233359303
29	1.229751947
30	1.2262722
31	1.222751882
32	1.219562335
33	1.216262752
34	1.212997635
35	1.210008473
36	1.206798652
37	1.204026618
38	1.200937575
39	1.198068938
40	1.19518054
41	1.192377049
42	1.189671197
43	1.186955254
44	1.184439828
45	1.181884236
46	1.179292054
47	1.176791444
48	1.17434205
49	1.172089743
50	1.169731998
51	1.16754177
52	1.16533106
53	1.163121827
54	1.161046359
55	1.158967473
56	1.156908667
57	1.154820819
58	1.152803697
59	1.150834059
60	1.148949759
61	1.147077927
62	1.145132658
63	1.143176622
64	1.141435157
65	1.139758885
66	1.138054145
67	1.136304888
68	1.134707135
69	1.132916895
70	1.131262311
71	1.129677694
72	1.128124494
73	1.126703946
74	1.125178077
75	1.123638063
76	1.122240458
77	1.120917882
78	1.119424245
79	1.11824323
80	1.116852125
81	1.115534652
82	1.114224033
83	1.11284412
84	1.111653651
85	1.110447763
86	1.109268289
87	1.108122853
88	1.10687022
89	1.105795625
90	1.104742787
91	1.103680297
92	1.102490011
93	1.101565042
94	1.100460925
95	1.099400539
96	1.098393689
97	1.097322758
98	1.096344831
99	1.095345934
100	1.094548049
101	1.093608674
102	1.092621287
103	1.091685165
104	1.090766585
105	1.089896311
106	1.089046761
107	1.088143837
108	1.087305437
109	1.086456693
110	1.085747438
111	1.084869601
112	1.084031265
113	1.083227213
114	1.082380693
115	1.081609212
116	1.080869747
117	1.080110867
118	1.079395224
119	1.078645293
120	1.077985898
121	1.077290467
122	1.076554624
123	1.075903332
124	1.075273459
125	1.074720085
126	1.074105901
127	1.073541721
128	1.073052183
129	1.072472607
130	1.071837115
131	1.071213905
132	1.070665568
133	1.070150826
134	1.069647055
135	1.06911109
136	1.068620785
137	1.068091107
138	1.067543595
139	1.067055596
140	1.066622593
141	1.066160137
142	1.065562808
143	1.065113036
144	1.064790756
145	1.064326339
146	1.063879806
147	1.063460352
148	1.062992774
149	1.062506355
150	1.062042265
151	1.061589529
152	1.061169319
153	1.060750494
154	1.060402476
155	1.060046046
156	1.059658443
157	1.05921766
158	1.058811431
159	1.058405004
160	1.057977033
161	1.057610897
162	1.057223362
163	1.056814816
164	1.056480973
165	1.056088481
166	1.055704449
167	1.055373751
168	1.054910652
169	1.054616441
170	1.054232694
171	1.053919467
172	1.05363334
173	1.053233811
174	1.052868969
175	1.052562731
176	1.052282899
177	1.051915299
178	1.05161076
179	1.051271936
180	1.050954883
181	1.050645667
182	1.050363008
183	1.050113226
184	1.049812402
185	1.049675997
186	1.049462328
187	1.049180169
188	1.048931828
189	1.048753755
190	1.048378571
191	1.048131495
192	1.047840077
193	1.047553466
194	1.047240224
195	1.046936626
196	1.046662716
197	1.046345252
198	1.046067635
199	1.045828519
200	1.045549665
201	1.045266943
202	1.045052923
203	1.044784614
204	1.04452494
205	1.044262394
206	1.044068279
207	1.043842159
208	1.043611467
209	1.043354646
210	1.043112794
211	1.04287014
212	1.042626907
213	1.042448685
214	1.042165491
215	1.041921833
216	1.041714254
217	1.041494704
218	1.041246176
219	1.041036824
220	1.040838855
221	1.040609607
222	1.040320296
223	1.040093738
224	1.03988303
225	1.039631566
226	1.039517231
227	1.039366983
228	1.039173076
229	1.039001421
230	1.038770297
231	1.038538936
232	1.038387454
233	1.038240536
234	1.038048457
235	1.037839633
236	1.037608463
237	1.037401441
238	1.037260819
239	1.037105316
240	1.036963372
241	1.036775552
242	1.036566078
243	1.036366278
244	1.03616095
245	1.036014661
246	1.03579167
247	1.035637062
248	1.035473666
249	1.035298692
250	1.035176816
251	1.035040657
252	1.03485976
253	1.03472071
254	1.034574284
255	1.034401724
256	1.034293526
257	1.034174493
258	1.034032132
259	1.033824492
260	1.033637083
261	1.03350497
262	1.033365615
263	1.033218285
264	1.033055157
265	1.032861719
266	1.032745098
267	1.032610027
268	1.032465238
269	1.032351569
270	1.032240095
271	1.032100656
272	1.031970571
273	1.031884288
274	1.031749689
275	1.031624954
276	1.031445822
277	1.031287262
278	1.031141671
279	1.031056599
280	1.030873616
281	1.03070232
282	1.030579902
283	1.030419726
284	1.030256636
285	1.030099933
286	1.029954055
287	1.029829032
288	1.029704979
289	1.029605604
290	1.029453585
291	1.029306699
292	1.029201151
293	1.029028171
294	1.028891621
295	1.028769716
296	1.028667393
297	1.028541198
298	1.028365559
299	1.028279506
300	1.028270107
301	1.028170045
302	1.028059843
303	1.027942067
304	1.027801228
305	1.027695463
306	1.027546309
307	1.027430373
308	1.027291622
309	1.027147601
310	1.026997153
311	1.02692788
312	1.026781834
313	1.026669138
314	1.02654131
315	1.026412917
316	1.026275666
317	1.026205175
318	1.026188453
319	1.026086362
320	1.025943366
321	1.025802669
322	1.025645289
323	1.025539901
324	1.025434127
325	1.025314618
326	1.025227567
327	1.025112259
328	1.025019842
329	1.024878455
330	1.024730422
331	1.024619925
332	1.024538729
333	1.024462479
334	1.024334695
335	1.0241863
336	1.024029239
337	1.02389627
338	1.023785527
339	1.023694903
340	1.023589454
341	1.023480332
342	1.02337119
343	1.023299101
344	1.023186859
345	1.023089547
346	1.023011931
347	1.022903905
348	1.022797417
349	1.022698738
