iter	Passed	Remaining
0	10	20836
1	19	19080
2	27	18434
3	36	18213
4	45	18009
5	53	17926
6	61	17604
7	69	17307
8	77	17205
9	85	17061
10	94	17066
11	102	16961
12	111	17059
13	119	16981
14	128	17011
15	136	16932
16	145	16926
17	153	16924
18	161	16861
19	169	16805
20	178	16807
21	186	16791
22	195	16789
23	203	16731
24	211	16742
25	220	16738
26	229	16747
27	238	16798
28	246	16786
29	256	16830
30	264	16829
31	273	16833
32	282	16827
33	290	16792
34	299	16815
35	305	16688
36	314	16688
37	319	16482
38	327	16477
39	336	16478
40	344	16470
41	352	16440
42	362	16520
43	370	16482
44	379	16471
45	387	16444
46	395	16447
47	404	16449
48	412	16419
49	417	16281
50	425	16274
51	433	16253
52	443	16282
53	451	16288
54	460	16280
55	468	16279
56	477	16271
57	486	16296
58	494	16282
59	504	16324
60	515	16391
61	524	16388
62	532	16379
63	541	16394
64	551	16404
65	559	16405
66	567	16379
67	578	16433
68	586	16408
69	595	16420
70	604	16427
71	613	16421
72	621	16418
73	629	16393
74	637	16374
75	647	16386
76	655	16382
77	664	16375
78	673	16371
79	678	16276
80	686	16270
81	695	16263
82	704	16266
83	712	16260
84	722	16266
85	729	16244
86	737	16221
87	746	16229
88	757	16255
89	768	16310
90	777	16316
91	785	16299
92	794	16294
93	801	16246
94	809	16239
95	818	16229
96	827	16225
97	835	16218
98	844	16220
99	853	16213
100	857	16127
101	866	16119
102	874	16108
103	884	16125
104	893	16122
105	902	16118
106	911	16125
107	920	16118
108	928	16107
109	937	16102
110	944	16072
111	953	16067
112	961	16060
113	970	16053
114	979	16050
115	987	16044
116	996	16035
117	1005	16033
118	1015	16047
119	1024	16050
120	1032	16039
121	1042	16047
122	1051	16048
123	1060	16042
124	1068	16033
125	1074	15983
126	1083	15982
127	1093	15991
128	1101	15973
129	1109	15964
130	1118	15957
131	1128	15967
132	1136	15949
133	1144	15943
134	1153	15937
135	1162	15937
136	1172	15940
137	1180	15924
138	1188	15916
139	1197	15910
140	1207	15916
141	1215	15908
142	1224	15901
143	1234	15908
144	1238	15846
145	1247	15838
146	1255	15831
147	1265	15831
148	1274	15830
149	1282	15821
150	1291	15819
151	1300	15813
152	1309	15806
153	1318	15800
154	1326	15792
155	1335	15783
156	1343	15768
157	1352	15766
158	1361	15765
159	1370	15756
160	1378	15749
161	1388	15756
162	1397	15748
163	1407	15755
164	1416	15755
165	1425	15748
166	1434	15740
167	1441	15723
168	1450	15716
169	1458	15702
170	1468	15708
171	1477	15698
172	1485	15685
173	1494	15678
174	1503	15675
175	1511	15666
176	1521	15670
177	1530	15661
178	1539	15661
179	1550	15672
180	1559	15671
181	1568	15663
182	1576	15655
183	1585	15645
184	1593	15636
185	1598	15587
186	1606	15579
187	1616	15575
188	1625	15574
189	1633	15564
190	1642	15555
191	1651	15550
192	1661	15555
193	1670	15546
194	1678	15537
195	1687	15535
196	1695	15521
197	1705	15523
198	1715	15526
199	1724	15524
200	1733	15514
201	1743	15522
202	1752	15516
203	1761	15509
204	1771	15512
205	1780	15503
206	1789	15501
207	1797	15488
208	1807	15486
209	1815	15477
210	1825	15479
211	1835	15477
212	1843	15469
213	1852	15464
214	1862	15461
215	1871	15457
216	1880	15452
217	1889	15448
218	1898	15439
219	1907	15435
220	1916	15431
221	1927	15440
222	1937	15438
223	1945	15428
224	1954	15418
225	1963	15409
226	1970	15390
227	1979	15386
228	1988	15380
229	1996	15365
230	2005	15356
231	2015	15357
232	2024	15353
233	2033	15343
234	2043	15344
235	2051	15334
236	2060	15330
237	2070	15326
238	2079	15320
239	2088	15314
240	2097	15309
241	2107	15307
242	2116	15306
243	2125	15296
244	2134	15293
245	2143	15283
246	2152	15277
247	2161	15267
248	2170	15261
249	2179	15253
250	2188	15252
251	2197	15243
252	2206	15238
253	2214	15224
254	2223	15215
255	2232	15206
256	2241	15201
257	2250	15193
258	2258	15183
259	2268	15178
260	2279	15191
261	2289	15187
262	2298	15177
263	2306	15167
264	2315	15162
265	2324	15154
266	2334	15149
267	2343	15144
268	2352	15138
269	2360	15123
270	2369	15115
271	2378	15109
272	2387	15104
273	2396	15094
274	2405	15089
275	2413	15078
276	2423	15071
277	2431	15062
278	2441	15060
279	2450	15052
280	2458	15042
281	2467	15035
282	2477	15029
283	2485	15020
284	2495	15017
285	2504	15011
286	2515	15014
287	2524	15004
288	2533	14998
289	2542	14993
290	2551	14987
291	2560	14976
292	2569	14967
293	2578	14964
294	2588	14958
295	2597	14955
296	2608	14958
297	2618	14955
298	2628	14952
299	2639	14957
300	2642	14913
301	2651	14908
302	2660	14902
303	2669	14892
304	2679	14892
305	2688	14882
306	2697	14875
307	2706	14870
308	2716	14864
309	2726	14862
310	2735	14858
311	2743	14842
312	2752	14837
313	2762	14833
314	2771	14827
315	2779	14813
316	2788	14804
317	2797	14794
318	2800	14759
319	2810	14755
320	2820	14753
321	2829	14747
322	2839	14740
323	2847	14729
324	2855	14717
325	2864	14710
326	2873	14703
327	2883	14699
328	2892	14690
329	2902	14687
330	2911	14681
331	2920	14673
332	2929	14663
333	2937	14653
334	2947	14649
335	2957	14645
336	2966	14638
337	2975	14632
338	2985	14626
339	2995	14624
340	3004	14616
341	3014	14613
342	3022	14603
343	3031	14594
344	3040	14584
345	3049	14576
346	3057	14566
347	3068	14567
348	3077	14557
349	3085	14547
350	3095	14544
351	3105	14538
352	3115	14535
353	3124	14526
354	3134	14523
355	3142	14513
356	3152	14510
357	3162	14502
358	3170	14490
359	3178	14480
360	3187	14473
361	3197	14467
362	3206	14460
363	3217	14459
364	3225	14449
365	3235	14443
366	3239	14413
367	3249	14411
368	3259	14407
369	3268	14400
370	3278	14394
371	3287	14387
372	3296	14378
373	3306	14374
374	3310	14345
375	3319	14338
376	3328	14329
377	3337	14319
378	3346	14312
379	3355	14304
380	3365	14302
381	3375	14298
382	3385	14294
383	3393	14281
384	3402	14271
385	3410	14262
386	3420	14255
387	3430	14251
388	3438	14241
389	3447	14233
390	3457	14226
391	3465	14214
392	3474	14207
393	3483	14197
394	3493	14196
395	3504	14195
396	3512	14182
397	3521	14175
398	3530	14166
399	3540	14161
400	3550	14156
401	3560	14151
402	3568	14139
403	3578	14137
404	3587	14127
405	3597	14122
406	3605	14113
407	3615	14106
408	3624	14099
409	3633	14089
410	3642	14081
